Sale Date,ISBN,Discount,ItemID,OrderID,Quantity
1/2/2193,989-28-3705-007-2,,107020-91-8011,107020-1,30
1/2/2193,989-28-79-11297-4,,107020-9-3293,107020-10,63
1/2/2193,989-28-79-11297-4,,107020-91-4622,107020-11,56
1/2/2193,989-28-79-18127-7,,107020-38-4663,107020-12,71
1/2/2193,989-28-79-82197-5,0.15,107020-1-1485,107020-13,35
1/2/2193,989-28-79-05638-4,,107020-52-7106,107020-14,62
1/2/2193,989-28-654-5018-9,,107020-93-2425,107020-15,15
1/2/2193,989-28-79-69807-2,,107020-1-6589,107020-16,20
1/2/2193,989-28-79-69807-2,,107020-44-1929,107020-17,57
1/2/2193,989-28-79-05670-4,,107020-37-9059,107020-18,63
1/2/2193,989-28-79-82749-6,,107020-34-6800,107020-19,13
1/2/2193,989-28-3705-987-7,,107020-1-850,107020-2,51
1/2/2193,989-28-79-82125-8,,107020-78-6994,107020-20,18
1/2/2193,989-28-79-69807-2,,107020-89-7892,107020-21,29
1/2/2193,989-28-79-69807-2,,107020-89-7891,107020-22,72
1/2/2193,989-28-79-05670-4,,107020-75-649,107020-23,22
1/2/2193,989-28-79-05670-4,,107020-16-5025,107020-24,49
1/2/2193,989-28-79-69807-2,,107020-1-6590,107020-25,77
1/2/2193,989-28-229-6632-6,0.1,107020-80-960,107020-26,45
1/2/2193,989-28-229-1404-4,,107020-73-9433,107020-27,34
1/2/2193,989-28-229-1404-4,,107020-24-5674,107020-28,33
1/2/2193,989-28-79-13801-1,,107020-12-8333,107020-29,90
1/2/2193,989-28-3705-966-2,,107020-7-2469,107020-3,72
1/2/2193,989-28-79-23023-4,,107020-96-5059,107020-30,19
1/2/2193,989-28-79-13801-1,,107020-43-9356,107020-31,91
1/2/2193,989-28-79-36485-4,,107020-32-5821,107020-32,55
1/2/2193,989-28-79-91028-0,,107020-43-9068,107020-33,97
1/2/2193,989-28-79-23023-4,,107020-26-4804,107020-34,77
1/2/2193,989-28-79-23023-4,,107020-31-393,107020-35,25
1/2/2193,989-28-79-23023-4,,107020-99-281,107020-36,77
1/2/2193,989-28-3705-492-6,,107020-59-4445,107020-37,56
1/2/2193,989-28-3705-222-9,,107020-48-2656,107020-38,19
1/2/2193,989-28-79-68089-3,0.05,107020-1-4349,107020-39,89
1/2/2193,989-28-79-82125-8,,107020-78-6993,107020-39,46
1/2/2193,989-28-3705-987-7,,107020-4-9809,107020-4,44
1/2/2193,989-28-229-5891-8,,107020-15-4933,107020-40,92
1/2/2193,989-28-79-13801-1,,107020-38-9642,107020-40,14
1/2/2193,989-28-3705-007-2,,107020-21-5668,107020-41,81
1/2/2193,989-28-79-13801-1,,107020-88-2782,107020-41,30
1/2/2193,989-28-3705-222-9,,107020-11-5263,107020-42,87
1/2/2193,989-28-3705-138-3,,107020-90-3176,107020-42,32
1/2/2193,989-28-3705-007-2,,107020-35-6051,107020-43,32
1/2/2193,989-28-3705-987-7,,107020-41-7081,107020-43,99
1/2/2193,989-28-3705-222-9,,107020-96-7633,107020-43,69
1/2/2193,989-28-3705-966-2,,107020-83-1238,107020-44,77
1/2/2193,989-28-3705-987-7,,107020-94-1392,107020-44,76
1/2/2193,989-28-79-82749-6,,107020-34-6799,107020-45,59
1/2/2193,989-28-79-13801-1,,107020-83-1442,107020-45,35
1/2/2193,989-28-79-07610-8,,107020-84-9479,107020-45,61
1/2/2193,989-28-79-05670-4,,107020-12-9072,107020-46,10
1/2/2193,989-28-79-11297-4,,107020-28-3922,107020-46,90
1/2/2193,989-28-79-69807-2,,107020-44-1930,107020-46,51
1/2/2193,989-28-3705-987-7,,107020-14-6317,107020-5,95
1/2/2193,989-28-3705-007-2,,107020-56-6967,107020-6,54
1/2/2193,989-28-3705-007-2,,107020-94-7785,107020-7,79
1/2/2193,989-28-79-21991-8,,107020-40-7921,107020-8,89
1/2/2193,989-28-79-30536-9,,107020-26-5296,107020-9,13
1/2/2193,989-28-79-82197-5,0.15,107020-1-1296,107036-13,49
1/3/2193,989-28-79-68089-3,0.05,107021-54-4671,107021-100,26
1/3/2193,989-28-79-13801-1,,107021-9-1363,107021-100,70
1/3/2193,989-28-229-6632-6,0.1,107021-84-6083,107021-101,47
1/3/2193,989-28-3705-492-6,,107021-60-9776,107021-101,12
1/3/2193,989-28-3705-966-2,,107021-80-9209,107021-47,81
1/3/2193,989-28-3705-649-4,,107021-17-972,107021-48,98
1/3/2193,989-28-3705-987-7,,107021-98-7436,107021-49,37
1/3/2193,989-28-3705-007-2,,107021-8-8324,107021-50,63
1/3/2193,989-28-3705-007-2,,107021-18-9238,107021-51,17
1/3/2193,989-28-79-45675-7,,107021-4-4945,107021-52,50
1/3/2193,989-28-79-16826-1,,107021-12-3972,107021-53,80
1/3/2193,989-28-79-82197-5,0.15,107021-1-4007,107021-54,68
1/3/2193,989-28-79-82197-5,0.15,107021-1-6796,107021-56,50
1/3/2193,989-28-79-07610-8,,107021-4-1952,107021-57,19
1/3/2193,989-28-79-45675-7,,107021-74-8665,107021-58,71
1/3/2193,989-28-79-05638-4,,107021-68-9665,107021-59,29
1/3/2193,989-28-79-27078-0,,107021-2-2090,107021-60,28
1/3/2193,989-28-79-30536-9,,107021-87-4152,107021-61,81
1/3/2193,989-28-79-13871-4,,107021-44-4874,107021-62,20
1/3/2193,989-28-79-69807-2,,107021-3-5851,107021-63,55
1/3/2193,989-28-79-13871-4,,107021-80-1506,107021-64,39
1/3/2193,989-28-79-69807-2,,107021-3-5850,107021-65,51
1/3/2193,989-28-79-13871-4,,107021-44-4873,107021-66,38
1/3/2193,989-28-79-13871-4,,107021-80-1505,107021-67,74
1/3/2193,989-28-229-3157-7,,107021-67-194,107021-68,10
1/3/2193,989-28-229-7592-2,,107021-54-4419,107021-69,36
1/3/2193,989-28-229-1404-4,,107021-69-1249,107021-70,11
1/3/2193,989-28-229-1404-4,,107021-56-9502,107021-71,62
1/3/2193,989-28-229-1404-4,,107021-3-6494,107021-72,46
1/3/2193,989-28-79-71565-6,,107021-50-9602,107021-73,93
1/3/2193,989-28-79-74374-1,,107021-59-5674,107021-74,50
1/3/2193,989-28-79-91028-0,,107021-93-112,107021-75,91
1/3/2193,989-28-79-23023-4,,107021-2-1047,107021-76,85
1/3/2193,989-28-79-23023-4,,107021-30-989,107021-77,26
1/3/2193,989-28-79-26824-4,,107021-43-1691,107021-78,26
1/3/2193,989-28-79-91028-0,,107021-75-7868,107021-79,95
1/3/2193,989-28-79-23023-4,0.13,107021-42-2946,107021-80,10
1/3/2193,989-28-79-55824-6,,107021-83-6720,107021-81,80
1/3/2193,989-28-79-71565-6,,107021-73-6463,107021-82,69
1/3/2193,989-28-79-74374-1,,107021-27-374,107021-83,52
1/3/2193,989-28-79-68089-3,0.05,107021-81-754,107021-84,88
1/3/2193,989-28-79-13801-1,,107021-15-5438,107021-85,35
